entity,day,training_computation_petaflop
Claude 3.7 Sonnet,2025-02-24,33500000000.0
CoAtNet,2021-06-09,42700004.0
CoCa,2022-06-14,73000000.0
CodeT5-base,2021-11-01,1560000.1
CodeT5-large,2022-07-05,2720000.0
Codex,2021-07-07,73440000.0
CogAgent,2023-12-14,67070004.0
CogVLM-17B,2023-11-06,63310000.0
CogView,2021-05-26,26800000.0
Cognitron,1975-09-01,5.184e-09
Composer 2,2026-03-19,23200000000.0
Composer 2.5,2026-05-18,38700003000.0
Conformer + Wav2vec 2.0 + Noisy Student,2020-10-20,7600000.0
ContextNet + Noisy Student,2020-01-19,8160000.0
Contriever,2021-12-16,157000.0
ConvS2S (ensemble of 8 models),2017-07-25,56400.0
Cross-lingual alignment,2019-04-04,2560.0
DALL-E,2021-01-05,47000000.0
DALL·E 2,2022-04-06,336957860.0
DBRX,2024-03-27,2600000000.0
DCNN,2015-08-07,480.9869
DD-PPO,2019-12-19,780000.06
DDPM-IP (CelebA),2023-01-27,350000.0
DETR,2020-05-26,400000.0
DINOv2,2023-04-14,7418511.0
DITTO,2022-06-06,3317.7603
DLRM-2020,2019-05-31,4000.0
DLWP,2021-02-09,5684.515
DNABERT,2021-08-15,107000.01
DNN EM segmentation,2012-12-03,478.0
DQN,2013-12-19,2.846884
DeBERTa,2021-06-10,25880000.0
DeLighT,2020-08-03,3801.6
Decision tree (classification),2001-12-08,0.063
Deep Autoencoders,2011-04-29,36.72864
DeepLoc,2017-07-07,578.1024
DeepSeek-Coder-V2 236B,2024-06-17,1285200000.0
DeepSeek-R1,2025-01-20,3500000000.0
DeepSeek-R1 (May 2025),2025-05-28,4020010000.0
DeepSeek-V2.5,2024-09-06,1789200000.0
DeepSeek-V3,2024-12-24,3300000000.0
DeepSeek-V3 (Mar 2025),2025-03-24,3300000000.0
DeepSeek-V4-Flash,2026-04-24,2496000300.0
DeepSeek-V4-Pro,2026-04-24,9702001000.0
DeepStack,2017-01-06,14463.36
DeiT-B,2021-01-15,78840.0
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2021-06-11,78401.25
DensePhrases,2020-12-23,2099.52
Detic,2022-01-07,23439.975
DiT-XL/2,2023-03-02,600000.0
DiffDock,2022-10-04,72000.0
Discriminator Guidance,2022-11-28,215700.0
DistBelief NNLM,2013-01-16,2612.736
DistBelief Speech,2012-12-03,311.40002
DistilBERT,2019-10-02,12441.6
Distributed representation NN,1986-08-15,3.888e-07
Doubao-pro,2024-10-28,25050001000.0
DreamerV3,2023-01-10,220320.0
Dropout (CIFAR),2012-06-03,4.2687
Dropout (ImageNet),2012-06-03,273.1968
Dropout (MNIST),2012-06-03,6.039371
Dropout-LSTM+Noise(Bernoulli) (WT2),2018-05-03,127.0
EI-REHN-1000D,2017-08-14,10.599999
ELECTRA,2020-03-23,3100000.0
ELMo,2018-02-01,3.3001
EMDR,2021-06-09,1910000.0
ERNIE 3.0,2021-07-05,22500000.0
